category,facility_count,avg_dist,median_dist,max_dist,within_1km_pct,within_2km_pct
地铁站,8,940.6,626.1,4339.4,82.9,85.1
公交站,100,216.9,166.6,774.1,100.0,100.0
教育设施,59,1738.1,1202.4,4053.6,44.0,61.7
医疗设施,77,269.5,201.2,1605.4,96.6,100.0
商业服务,320,141.2,119.1,1114.5,98.9,100.0
公园绿地,39,346.8,238.0,1964.4,94.3,100.0
