设施类别,设施数量,最近距离均值(m),最近距离中位(m),最近距离最大(m),1km覆盖率(%),2km覆盖率(%)
餐饮商业,166,112.0,0.0,1778.0,96.0,100.0
商超便利店,83,84.0,0.0,1702.0,96.0,100.0
地铁站,12,4353.0,3449.0,8995.0,0.0,11.4
公交站,45,3081.0,2350.0,6307.0,0.0,30.9
公园绿地,15,535.0,17.0,3633.0,86.3,88.6
教育设施,15,3751.0,2928.0,8133.0,11.4,12.0
社康诊所,25,443.0,0.0,3093.0,85.1,88.6
